YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DataValueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,Geolocation,LocationID,TopicID,QuestionID,ResponseID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2020,2020,ND,North Dakota,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",,"cases per 100,000",Age-adjusted Rate,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"Asian, non-Hispanic",,,,,POINT (-100.11842104899966 47.47531977900047),38,CVD,CVD07,,AGEADJRATE,RACE,ASN,,,,
2021,2021,ID,Idaho,ACS,Social Determinants of Health,Living below 150% of the poverty threshold among all people,,%,Crude Prevalence,27.5,27.5,,,18.6,38.6,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-114.3637300419997 43.682630005000476),16,SDOH,SDH01,,CRDPREV,RACE,AIAN,,,,
2020,2020,NC,North Carolina,BRFSS,Health Status,Fair or poor self-rated health status among adults,,%,Age-adjusted Prevalence,22.0,22.0,,,17.6,27.0,Race/Ethnicity,Hispanic,,,,,POINT (-79.15925046299964 35.466220975000454),37,HEA,HEA01,,AGEADJPREV,RACE,HIS,,,,
2020,2020,RI,Rhode Island,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults,,%,Crude Prevalence,33.4,33.4,,,30.6,36.3,Age,Age 45-64,,,,,POINT (-71.52247031399963 41.70828019300046),44,NPAW,NPW14,,CRDPREV,AGE,AGE4564,,,,
2019,2019,PA,Pennsylvania,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,,%,Age-adjusted Prevalence,29.8,29.8,,,27.8,31.9,Sex,Male,,,,,POINT (-77.86070029399963 40.79373015200048),42,CVD,CVD03,,AGEADJPREV,SEX,SEXM,,,,
2019,2019,NM,New Mexico,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,57.9,57.9,,,55.0,60.7,Age,Age >=65,,,,,POINT (-106.24058098499967 34.52088095200048),35,CVD,CVD01,,CRDPREV,AGE,AGE65P,,,,
2021,2021,NY,New York,BRFSS,Immunization,Influenza vaccination among adults 18â€“64 who are at increased risk,,%,Age-adjusted Prevalence,27.2,27.2,,,18.2,38.6,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-75.54397042699964 42.82700103200045),36,IMM,IMM02,,AGEADJPREV,RACE,AIAN,,,,
2020,2020,WY,Wyoming,BRFSS,Alcohol,Binge drinking intensity among adults who binge drink,,Number,Crude 75th percentile,6.8,6.8,,,5.9,10.0,Sex,Female,,,,,POINT (-108.10983035299967 43.23554134300048),56,ALC,ALC05,,CRD75TH,SEX,SEXF,,,,
2019,2019,NE,Nebraska,BRFSS,"Nutrition, Physical Activity, and Weight Status","Met aerobic physical activity guideline for substantial health benefits, adults",,%,Age-adjusted Prevalence,46.2,46.2,,,33.6,59.4,Race/Ethnicity,"Asian, non-Hispanic",,,,,POINT (-99.36572062299967 41.6410409880005),31,NPAW,NPW09,,AGEADJPREV,RACE,ASN,,,,
2022,2022,SD,South Dakota,BRFSS,Immunization,Pneumococcal vaccination among adults aged 18â€“64 years who are at increased risk,,%,Crude Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-100.3735306369997 44.353130053000484),46,IMM,IMM03,,CRDPREV,RACE,MRC,,,,
2019,2019,IL,Illinois,BRFSS,"Nutrition, Physical Activity, and Weight Status",Consumed fruit less than one time daily among adults,,%,Crude Prevalence,38.4,38.4,,,36.5,40.4,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-88.99771017799969 40.48501028300046),17,NPAW,NPW02,,CRDPREV,RACE,WHT,,,,
2021,2021,NE,Nebraska,BRFSS,Alcohol,Binge drinking prevalence among adults,,%,Age-adjusted Prevalence,20.7,20.7,,,19.7,21.8,Overall,Overall,,,,,POINT (-99.36572062299967 41.6410409880005),31,ALC,ALC06,,AGEADJPREV,OVERALL,OVR,,,,
2022,2022,DE,Delaware,BRFSS,Alcohol,Binge drinking intensity among adults who binge drink,,Number,Crude Median,5.2,5.2,,,4.9,5.5,Overall,Overall,,,,,POINT (-75.57774116799965 39.008830667000495),10,ALC,ALC05,,CRDMEDN,OVERALL,OVR,,,,
2021,2021,HI,Hawaii,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,,%,Crude Prevalence,41.4,41.4,,,38.5,44.3,Race/Ethnicity,"Asian, non-Hispanic",,,,,POINT (-157.85774940299973 21.304850435000446),15,CVD,CVD03,,CRDPREV,RACE,ASN,,,,
2020,2020,RI,Rhode Island,NVSS,Alcohol,"Chronic liver disease mortality among all people, underlying cause",,"cases per 100,000",Age-adjusted Rate,8.7,8.7,,,6.5,11.5,Sex,Female,,,,,POINT (-71.52247031399963 41.70828019300046),44,ALC,ALC09,,AGEADJRATE,SEX,SEXF,,,,
2022,2022,PA,Pennsylvania,BRFSS,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults,,%,Crude Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-77.86070029399963 40.79373015200048),42,NPAW,NPW06,,CRDPREV,RACE,AIAN,,,,
2022,2022,NY,New York,BRFSS,Arthritis,Arthritis among adults,,%,Age-adjusted Prevalence,35.1,35.1,,,28.7,42.1,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-75.54397042699964 42.82700103200045),36,ART,ART01,,AGEADJPREV,RACE,MRC,,,,
2020,2020,GA,Georgia,NVSS,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",,Number,Number,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-83.62758034599966 32.83968109300048),13,DIA,DIA04,,NMBR,RACE,AIAN,,,,
2020,2020,VI,Virgin Islands,BRFSS,Social Determinants of Health,Routine checkup within the past year among adults,,%,Crude Prevalence,,,*,No data available,,,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-64.896335 18.335765),78,SDOH,SDH12,,CRDPREV,RACE,WHT,,,,
2015,2019,NM,New Mexico,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-106.24058098499967 34.52088095200048),35,CAN,CAN03,,AGEADJRATE,RACE,AIAN,,,,
2021,2021,UT,Utah,BRFSS,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,,%,Crude Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,,,POINT (-111.58713063499971 39.360700171000474),49,COPD,COPD01,,CRDPREV,RACE,HAPI,,,,
2020,2020,PR,Puerto Rico,BRFSS,Diabetes,Diabetes among adults,,%,Age-adjusted Prevalence,13.4,13.4,,,12.1,14.9,Overall,Overall,,,,,POINT (-66.590149 18.220833),72,DIA,DIA01,,AGEADJPREV,OVERALL,OVR,,,,
2022,2022,CT,Connecticut,BRFSS,Mental Health,Frequent mental distress among adults,,%,Crude Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-72.64984095199964 41.56266102000046),9,MEN,MEN05,,CRDPREV,RACE,AIAN,,,,
2022,2022,VA,Virginia,BRFSS,Oral Health,No teeth lost among adults aged 18-64 years,,%,Age-adjusted Prevalence,63.6,63.6,,,59.7,67.4,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-78.45789046299967 37.54268067400045),51,ORH,ORH01,,AGEADJPREV,RACE,BLK,,,,
2020,2020,CO,Colorado,BRFSS,Immunization,Pneumococcal vaccination among adults aged 18â€“64 years who are at increased risk,,%,Crude Prevalence,31.5,31.5,,,20.9,44.4,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-106.13361092099967 38.843840757000464),8,IMM,IMM03,,CRDPREV,RACE,BLK,,,,
2015,2019,MD,Maryland,US Cancer DVT,Cancer,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",,"per 100,000",Crude Rate,18.9,18.9,,,18.2,19.6,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-76.60926011099963 39.29058096400047),24,CAN,CAN01,,CRDRATE,RACE,WHT,,,,
2022,2022,NC,North Carolina,BRFSS,Health Status,Frequent physical distress among adults,,%,Crude Prevalence,16.5,16.5,,,14.0,19.2,Sex,Female,,,,,POINT (-79.15925046299964 35.466220975000454),37,HEA,HEA03,,CRDPREV,SEX,SEXF,,,,
2021,2021,OH,Ohio,BRFSS,Health Status,2 or more chronic conditions among adults,,%,Age-adjusted Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Asian, non-Hispanic",,,,,POINT (-82.40426005599966 40.06021014100048),39,HEA,HEA05,,AGEADJPREV,RACE,ASN,,,,
2015,2019,ND,North Dakota,US Cancer DVT,Cancer,"Lung and bronchial cancer mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-100.11842104899966 47.47531977900047),38,CAN,CAN04,,AGEADJRATE,RACE,BLK,,,,
2020,2020,AR,Arkansas,BRFSS,Health Status,Fair or poor self-rated health status among adults,,%,Crude Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,,,POINT (-92.27449074299966 34.74865012400045),5,HEA,HEA01,,CRDPREV,RACE,HAPI,,,,
2019,2019,WI,Wisconsin,BRFSS,Immunization,Pneumococcal vaccination among adults aged 65 years and older,,%,Age-adjusted Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,Hispanic,,,,,POINT (-89.81637074199966 44.39319117400049),55,IMM,IMM04,,AGEADJPREV,RACE,HIS,,,,
2020,2020,MO,Missouri,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Age-adjusted Prevalence,86.5,86.5,,,78.8,91.7,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-92.56630005299968 38.635790776000476),29,CAN,CAN09,,AGEADJPREV,RACE,BLK,,,,
2020,2020,MO,Missouri,NVSS,Chronic Obstructive Pulmonary Disease,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause",,"cases per 100,000",Crude Rate,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,,,POINT (-92.56630005299968 38.635790776000476),29,COPD,COPD05,,CRDRATE,RACE,HAPI,,,,
2019,2019,GU,Guam,BRFSS,Health Status,Average recent physically unhealthy days among adults,,Number,Age-adjusted Mean,3.9,3.9,,,3.3,4.4,Overall,Overall,,,,,POINT (144.793731 13.444304),66,HEA,HEA02,,AGEADJMEAN,OVERALL,OVR,,,,
2019,2019,CA,California,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,,%,Age-adjusted Prevalence,28.1,28.1,,,24.6,32.0,Race/Ethnicity,"Asian, non-Hispanic",,,,,POINT (-120.99999953799971 37.63864012300047),6,CVD,CVD03,,AGEADJPREV,RACE,ASN,,,,
2020,2020,MD,Maryland,NVSS,Alcohol,"Chronic liver disease mortality among all people, underlying cause",,"cases per 100,000",Crude Rate,5.3,5.3,,,3.7,7.4,Race/Ethnicity,Hispanic,,,,,POINT (-76.60926011099963 39.29058096400047),24,ALC,ALC09,,CRDRATE,RACE,HIS,,,,
2022,2022,IL,Illinois,BRFSS,Social Determinants of Health,Lack of reliable transportation in the past 12 months among adults,,%,Age-adjusted Prevalence,,,#,No data available for this indicator because the module was not used by the state or territory,,,Race/Ethnicity,"Asian, non-Hispanic",,,,,POINT (-88.99771017799969 40.48501028300046),17,SDOH,SDH06,,AGEADJPREV,RACE,ASN,,,,
2019,2019,AK,Alaska,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",,"cases per 100,000",Age-adjusted Rate,129.7,129.7,,,120.5,138.9,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),2,CVD,CVD09,,AGEADJRATE,OVERALL,OVR,,,,
2020,2020,SD,South Dakota,BRFSS,Health Status,Average recent physically unhealthy days among adults,,Number,Age-adjusted Mean,2.7,2.7,,,2.3,3.2,Sex,Female,,,,,POINT (-100.3735306369997 44.353130053000484),46,HEA,HEA02,,AGEADJMEAN,SEX,SEXF,,,,
2022,2022,SC,South Carolina,BRFSS,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults,,%,Crude Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Asian, non-Hispanic",,,,,POINT (-81.04537120699968 33.998821303000454),45,NPAW,NPW06,,CRDPREV,RACE,ASN,,,,
2021,2021,MS,Mississippi,BRFSS,Immunization,Influenza vaccination among adults 18â€“64 who are at increased risk,,%,Age-adjusted Prevalence,33.7,33.7,,,27.7,40.3,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-89.53803082499968 32.745510099000455),28,IMM,IMM02,,AGEADJPREV,RACE,WHT,,,,
2021,2021,WI,Wisconsin,BRFSS,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,,%,Crude Prevalence,5.6,5.6,,,4.8,6.5,Overall,Overall,,,,,POINT (-89.81637074199966 44.39319117400049),55,COPD,COPD01,,CRDPREV,OVERALL,OVR,,,,
2021,2021,WI,Wisconsin,BRFSS,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults,,%,Crude Prevalence,24.5,24.5,,,17.0,34.0,Race/Ethnicity,Hispanic,,,,,POINT (-89.81637074199966 44.39319117400049),55,NPAW,NPW06,,CRDPREV,RACE,HIS,,,,
2019,2019,AK,Alaska,BRFSS,Immunization,Pneumococcal vaccination among adults aged 18â€“64 years who are at increased risk,,%,Crude Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),2,IMM,IMM03,,CRDPREV,RACE,HAPI,,,,
2021,2021,NJ,New Jersey,NVSS,Asthma,"Asthma mortality among all people, underlying cause",,"cases per 100,000",Crude Rate,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-74.27369128799967 40.13057004800049),34,AST,AST01,,CRDRATE,RACE,MRC,,,,
2022,2022,UT,Utah,BRFSS,Immunization,Influenza vaccination among adults 18â€“64 who are at increased risk,,%,Age-adjusted Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-111.58713063499971 39.360700171000474),49,IMM,IMM02,,AGEADJPREV,RACE,BLK,,,,
2020,2020,DE,Delaware,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Age-adjusted Prevalence,76.9,76.9,,,71.5,81.6,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-75.57774116799965 39.008830667000495),10,CAN,CAN09,,AGEADJPREV,RACE,WHT,,,,
2020,2020,DE,Delaware,CMS Part A Claims Data,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older",,Number,Number,1118.0,1118.0,,,,,Sex,Female,,,,,POINT (-75.57774116799965 39.008830667000495),10,CVD,CVD06,,NMBR,SEX,SEXF,,,,
2019,2019,PR,Puerto Rico,BRFSS,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults,,%,Age-adjusted Prevalence,45.6,45.6,,,42.9,48.3,Sex,Male,,,,,POINT (-66.590149 18.220833),72,NPAW,NPW06,,AGEADJPREV,SEX,SEXM,,,,
2019,2019,CA,California,BRFSS,Social Determinants of Health,Routine checkup within the past year among adults,,%,Crude Prevalence,88.4,88.4,,,86.8,89.8,Age,Age >=65,,,,,POINT (-120.99999953799971 37.63864012300047),6,SDOH,SDH12,,CRDPREV,AGE,AGE65P,,,,
2021,2021,NV,Nevada,BRFSS,Immunization,Influenza vaccination among adults,,%,Age-adjusted Prevalence,25.3,25.3,,,15.2,39.1,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-117.07184056399967 39.493240390000494),32,IMM,IMM01,,AGEADJPREV,RACE,MRC,,,,
2020,2020,LA,Louisiana,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Crude Prevalence,82.3,82.3,,,79.2,85.0,Overall,Overall,,,,,POINT (-92.44568007099969 31.31266064400046),22,CAN,CAN09,,CRDPREV,OVERALL,OVR,,,,
2019,2019,DE,Delaware,BRFSS,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,,%,Age-adjusted Prevalence,41.9,41.9,,,31.0,53.7,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-75.57774116799965 39.008830667000495),10,ART,ART04,,AGEADJPREV,RACE,WHT,,,,
2021,2021,IA,Iowa,BRFSS,Arthritis,Activity limitation due to arthritis among adults with arthritis,,%,Age-adjusted Prevalence,3.8,3.8,,,2.2,6.5,Race/Ethnicity,Hispanic,,,,,POINT (-93.81649055599968 42.46940091300047),19,ART,ART02,,AGEADJPREV,RACE,HIS,,,,
2019,2019,WI,Wisconsin,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",,"cases per 100,000",Crude Rate,14.8,14.8,,,12.8,16.7,Age,Age 45-64,,,,,POINT (-89.81637074199966 44.39319117400049),55,CVD,CVD07,,CRDRATE,AGE,AGE4564,,,,
2022,2022,OK,Oklahoma,BRFSS,Tobacco,Quit attempts in the past year among adult current smokers,,%,Crude Prevalence,,,#,No data available for this indicator because the module was not used by the state or territory,,,Race/Ethnicity,Hispanic,,,,,POINT (-97.52107021399968 35.47203135600046),40,TOB,TOB06,,CRDPREV,RACE,HIS,,,,
2021,2021,NC,North Carolina,BRFSS,Chronic Obstructive Pulmonary Disease,Current smoking among adults with chronic obstructive pulmonary disease,,%,Crude Prevalence,36.5,36.5,,,29.9,43.7,Overall,Overall,,,,,POINT (-79.15925046299964 35.466220975000454),37,COPD,COPD02,,CRDPREV,OVERALL,OVR,,,,
2020,2020,TN,Tennessee,BRFSS,Mental Health,Average mentally unhealthy days among adults,,Number,Age-adjusted Mean,2.7,2.7,,,1.9,3.7,Sex,Female,,,,,POINT (-85.77449091399967 35.68094058000048),47,MEN,MEN04,,AGEADJMEAN,SEX,SEXF,,,,
2022,2022,DC,District of Columbia,BRFSS,Diabetes,Diabetes among adults,,%,Crude Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,Hispanic,,,,,POINT (-77.036871 38.907192),11,DIA,DIA01,,CRDPREV,RACE,HIS,,,,
2021,2021,ID,Idaho,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,,%,Crude Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,,,POINT (-114.3637300419997 43.682630005000476),16,CVD,CVD04,,CRDPREV,RACE,HAPI,,,,
2021,2021,HI,Hawaii,BRFSS,Social Determinants of Health,Routine checkup within the past year among adults,,%,Crude Prevalence,84.0,84.0,,,73.5,90.8,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-157.85774940299973 21.304850435000446),15,SDOH,SDH12,,CRDPREV,RACE,BLK,,,,
2021,2021,GU,Guam,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,,%,Crude Prevalence,33.2,33.2,,,28.4,38.4,Overall,Overall,,,,,POINT (144.793731 13.444304),66,CVD,CVD03,,CRDPREV,OVERALL,OVR,,,,
2019,2019,MT,Montana,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",,"cases per 100,000",Crude Rate,497.5,497.5,,,467.1,527.9,Age,Age >=65,,,,,POINT (-109.42442064499971 47.06652897200047),30,CVD,CVD08,,CRDRATE,AGE,AGE65P,,,,
2020,2020,AK,Alaska,BRFSS,Alcohol,Binge drinking frequency among adults who binge drink,,Number,Crude Median,1.8,1.8,,,1.6,2.2,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),2,ALC,ALC04,,CRDMEDN,OVERALL,OVR,,,,
2021,2022,SD,South Dakota,BRFSS,Cognitive Health and Caregiving,Discussed symptoms of subjective cognitive decline with a health care professional among adults aged 45 years and older with subjective cognitive decline,,%,Age-adjusted Prevalence,,,#,No data available for this indicator because the module was not used by the state or territory,,,Sex,Male,,,,,POINT (-100.3735306369997 44.353130053000484),46,CHC,CHC02,,AGEADJPREV,SEX,SEXM,,,,
2022,2022,DC,District of Columbia,BRFSS,Disability,Adults with any disability,,%,Crude Prevalence,18.4,18.4,,,15.7,21.4,Sex,Male,,,,,POINT (-77.036871 38.907192),11,DIS,DIS01,,CRDPREV,SEX,SEXM,,,,
2022,2022,TX,Texas,BRFSS,Health Status,Fair or poor self-rated health status among adults,,%,Crude Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,,,POINT (-99.42677020599967 31.827240407000488),48,HEA,HEA01,,CRDPREV,RACE,HAPI,,,,
2019,2019,VI,Virgin Islands,BRFSS,Arthritis,Physical inactivity among adults with arthritis,,%,Crude Prevalence,,,*,No data available,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-64.896335 18.335765),78,ART,ART05,,CRDPREV,RACE,MRC,,,,
2021,2021,AR,Arkansas,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older",,Number,Number,26638.0,26638.0,,,,,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-92.27449074299966 34.74865012400045),5,COPD,COPD03,,NMBR,RACE,WHT,,,,
2022,2022,MO,Missouri,BRFSS,Social Determinants of Health,Lack of reliable transportation in the past 12 months among adults,,%,Crude Prevalence,14.3,14.3,,,9.1,21.8,Race/Ethnicity,Hispanic,,,,,POINT (-92.56630005299968 38.635790776000476),29,SDOH,SDH06,,CRDPREV,RACE,HIS,,,,
2022,2022,GU,Guam,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Crude Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Asian, non-Hispanic",,,,,POINT (144.793731 13.444304),66,CAN,CAN09,,CRDPREV,RACE,ASN,,,,
2022,2022,MA,Massachusetts,BRFSS,Arthritis,Arthritis among adults,,%,Age-adjusted Prevalence,33.8,33.8,,,22.2,47.7,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-72.08269067499964 42.27687047000046),25,ART,ART01,,AGEADJPREV,RACE,AIAN,,,,
2019,2019,TX,Texas,BRFSS,Health Status,2 or more chronic conditions among adults,,%,Crude Prevalence,11.0,11.0,,,9.1,13.2,Race/Ethnicity,Hispanic,,,,,POINT (-99.42677020599967 31.827240407000488),48,HEA,HEA05,,CRDPREV,RACE,HIS,,,,
2021,2022,ID,Idaho,BRFSS,Cognitive Health and Caregiving,Subjective cognitive decline among adults aged 45 years and older,,%,Crude Prevalence,12.1,12.1,,,10.5,14.0,Age,Age >=65,,,,,POINT (-114.3637300419997 43.682630005000476),16,CHC,CHC01,,CRDPREV,AGE,AGE65P,,,,
2019,2019,IN,Indiana,BRFSS,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,,%,Crude Prevalence,68.5,68.5,,,50.0,82.5,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-86.14996019399968 39.766910452000445),18,CVD,CVD02,,CRDPREV,RACE,MRC,,,,
2020,2020,WY,Wyoming,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",,"cases per 100,000",Crude Rate,,,~,Data suppressed; too few respondents or cases,,,Age,Age 0-44,,,,,POINT (-108.10983035299967 43.23554134300048),56,CVD,CVD07,,CRDRATE,AGE,AGE0_44,,,,
2018,2019,NY,New York,NSCH,Oral Health,Receipt of evidence-based preventive dental services in the past 12 months among children and adolescents aged 1-17 years,,%,Crude Prevalence,49.7,49.7,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,32.3,67.3,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-75.54397042699964 42.82700103200045),36,ORH,ORH05,,CRDPREV,RACE,MRC,,,,
2021,2021,GU,Guam,BRFSS,Immunization,Influenza vaccination among adults,,%,Crude Prevalence,34.8,34.8,,,27.9,42.3,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,,,POINT (144.793731 13.444304),66,IMM,IMM01,,CRDPREV,RACE,HAPI,,,,
2020,2020,US,United States,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",,"cases per 100,000",Crude Rate,112.2,112.2,,,111.2,113.2,Race/Ethnicity,"Black, non-Hispanic",,,,,,59,CVD,CVD08,,CRDRATE,RACE,BLK,,,,
2020,2020,MD,Maryland,NVSS,Chronic Obstructive Pulmonary Disease,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause",,"cases per 100,000",Crude Rate,76.7,76.7,,,73.3,80.1,Overall,Overall,,,,,POINT (-76.60926011099963 39.29058096400047),24,COPD,COPD05,,CRDRATE,OVERALL,OVR,,,,
2021,2021,ND,North Dakota,NVSS,Chronic Obstructive Pulmonary Disease,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause",,Number,Number,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-100.11842104899966 47.47531977900047),38,COPD,COPD05,,NMBR,RACE,BLK,,,,
2019,2019,ID,Idaho,NVSS,Alcohol,"Chronic liver disease mortality among all people, underlying cause",,Number,Number,249.0,249.0,,,,,Overall,Overall,,,,,POINT (-114.3637300419997 43.682630005000476),16,ALC,ALC09,,NMBR,OVERALL,OVR,,,,
2022,2022,NJ,New Jersey,BRFSS,Cancer,Colorectal cancer screening among adults aged 45-75 years,,%,Age-adjusted Prevalence,53.0,53.0,,,47.1,58.8,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-74.27369128799967 40.13057004800049),34,CAN,CAN06,,AGEADJPREV,RACE,BLK,,,,
2020,2020,AK,Alaska,BRFSS,Health Status,2 or more chronic conditions among adults,,%,Age-adjusted Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),2,HEA,HEA05,,AGEADJPREV,RACE,BLK,,,,
2019,2019,TN,Tennessee,BRFSS,"Nutrition, Physical Activity, and Weight Status","Met aerobic physical activity guideline for substantial health benefits, adults",,%,Crude Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Asian, non-Hispanic",,,,,POINT (-85.77449091399967 35.68094058000048),47,NPAW,NPW09,,CRDPREV,RACE,ASN,,,,
